,Question,Answer,Please give an example of your experience in understanding and framing the problem to be solved in Discovery.,Outcome,Date,Dept,Bid,Winner,Applications,Score notes,Other notes
248,Experience of designing and delivering a referral and/or booking system.,"Since 2018 we’ve been building a licensing system for regulating the biosciences sector. Licence applications require assessments to be referred to specific individuals for specialist input. This was managed manually using multiple spreadsheets and emails in a time-consuming process open to human error.
 
We incorporated a new process into our system by designing and delivering:
an interface to visualise staff workload
a means of flagging cases awaiting referrals
a mechanism to refer assessments to specific individuals
a clear history of referral actions and messaging
 
Assessment referrals are now conducted effectively and management information reporting is accurate and accessible.",1,Lost,17/03/2022,MOJ,Community Accommodation Service Tier 3 (CAS3),Not stated,20,,
249,Be able to successfully apply user-centred design methodologies to inform new ways of working,"Since 2018 we’ve been helping the Animals in Science Regulation Unit (ASRU) redefine how they manage their licensing processes.To help the organisation become more user centred, we engaged ASRU assessors and applicants in service development through: 

Observation of live user research sessions 
Participation in ideation workshops and research debriefs
Critiquing draft designs and iterating them 

Involving colleagues in the design process encouraged them to take a user-centred approach in redesigning a large and complex licence application. The result was a new collaborative way of working and a licensing service which increased user satisfaction by 31%.",1.8,Lost,23/03/2022,NHS England,Design for a Interoperability Standards Support Service,Not stated,18,We scored 39. The leading supplier scored 50. The maximum score possible was 63.,
250,Be able to demonstrate experience of supporting organisations in the public sector to apply the principles of user-centred design and agile delivery methods,"For Animals in Science Licensing for the Home Office, we iteratively delivered a new service to a strict deadline for a client completely new to agile working.
To support the organisation we involved colleagues in the following activities:
‘agile development Q&A’ with all staff
upskilling the service manager with agile coaching 
daily stand-up meetings and ‘Show and tells’ to demonstrate progress 
planning sessions to help prioritise features and user research activities
observing research sessions 
participating in co-design workshops

The new service went live in 2019 and the HO service manager commented: “Your approach to engagement has been exemplary.”",1.8,Lost,23/03/2022,NHS England,Design for a Interoperability Standards Support Service,Not stated,18,We scored 39. The leading supplier scored 50. The maximum score possible was 63.,
251,Be able to demonstrate experience of using service design or user research to influence organisation strategy or the approach of senior/board level decision makers.,"In 2020 we redesigned a complaints service for worldwide users of UK Visa and Immigration services. 
 
To understand the service landscape we analysed:
 
* web analytics data
* survey data 
* complaints data 
* online user comments 
* satisfaction data
 
This identified an issue that 50% of ‘complaints’ were actually enquiries. We explored a new approach, directing people who didn’t have a complaint to relevant and useful support. We presented our findings and evidence to UKVI’s Technical Change and Transition Lead together with our recommendations. 
 
Our recommendations were approved and the new service’s user satisfaction increased from 31% in 2019 to 63% in 2020.",1.8,Lost,23/03/2022,NHS England,Design for a Interoperability Standards Support Service,Not stated,18,We scored 39. The leading supplier scored 50. The maximum score possible was 63.,
252,Understand and be able to demonstrate experience of supporting organisations to use a range of research and design methodologies to deliver services for a diverse mix of users,"Since 2018 we have supported the Animals in Science Regulatory Unit (ASRU) in delivering a number of digital services for their diverse user groups including:

Scientists, administrators, inspectors, statisticians, and other officers
Users with access needs
Differing levels of digital literacy

To support ASRU service delivery we engaged colleagues in a range of research and design activities such as:

In-depth user interviews 
Usability testing of prototypes
Card sorting and co-design workshops
Service and user journey mapping
Pair-writing guidance 
Design critiques 

We’ve delivered 3 application services for these user groups successfully, passing 3 government digital service assessments first time.",1.8,Lost,23/03/2022,NHS England,Design for a Interoperability Standards Support Service,Not stated,18,We scored 39. The leading supplier scored 50. The maximum score possible was 63.,
253,Be able to demonstrate recent (within 2 years) experience of recruiting a diverse workforce and promoting a supportive and inclusive culture.,"We are committed to creating a workforce with high cognitive and demographic diversity to ensure we build effective services that work for everyone. 

We’ve introduced fair recruitment practices by anonymising CVs and having diverse recruitment panels. In the last 2 years, 4 out of 6 of hires have one or more characteristics that are underrepresented in technology. 

 We try to promote a supportive culture by:
maintaining a flat hierarchy - everyone’s perspective is equally valued
inviting open and honest sharing in retrospectives
offering flexible working hours/locations to everyone
We are continuing to explore how we can make further improvements.",1.8,Lost,23/03/2022,NHS England,Design for a Interoperability Standards Support Service,Not stated,18,We scored 39. The leading supplier scored 50. The maximum score possible was 63.,
254,Be able to demonstrate recent experience (within the last 2 years) of supporting organisations to develop digital services that meet the Government Service Standard. ,"In 2021 we completed a discovery and alpha for an interoperability standards directory with NHSE&I.
We delivered the work using agile methodology and following the NHS and government service standards, design principles and technology codes of practice.
In January 2022 we completed an Alpha assessment for this service passing every point of the digital service standard. The service has now moved into the private beta phase. 
We’ve also passed 11 other GDS assessments, for 3 other departments, all first time. Furthermore, two members of the discovery team are trained service assessors having assessed over 10 other services between them.",1.8,Lost,23/03/2022,NHS England,Design for a Interoperability Standards Support Service,Not stated,18,We scored 39. The leading supplier scored 50. The maximum score possible was 63.,
255,Demonstrate understanding of the role of information standards to support interoperability,"In 2021 we tested and validated the need for a one-stop digital service for information standards that will address the difficulty of finding standards and understanding which ones to use. 

During our engagement with NHSE&I, we began the process of mapping the end-to-end service, identifying gaps in the operating model and pain points to be addressed, including: 
slow development of standards
lack of clarity around mandation and enforcement
competing priorities
need for greater collaboration and alignment

We've since built the service, explored its maintenance model, passed the Alpha assessment, and iterated the solution in preparation for Public Beta launch.
",1.8,Lost,23/03/2022,NHS England,Design for a Interoperability Standards Support Service,Not stated,18,We scored 39. The leading supplier scored 50. The maximum score possible was 63.,
256,"Demonstrate experience of developing a digital service to public beta according to requirements of the government digital service standard, using agile methodology.","Marvell Consulting delivers all its services using agile methodologies. During delivery of the Animals in Science licensing project we have:
limited scope and prioritised the most important needs to meet deadlines 
held weekly sprint plannings, daily stand-ups, fortnightly show and tells and retrospectives to get into a cadence of plan, deliver, present and reflect 
tested and iterated designs based on user research findings
tracked and reported on risks, dependencies and progress against goals in weekly reports
The service moved through alpha, to private and then public beta, passing all its GDS service assessments against the government digital service standard.",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
257,Demonstrate ability to pivot according to user needs.,"The Animals in Science Licensing service was originally built to allow the inspectorate to manage their workload on a regional basis. 

The new service that we delivered saw such improvements that licence applicants required less support from the regulator – resulting in this regional structure of workload management becoming less efficient. The regional division of work was subsequently removed and all inspectors would need to jointly manage their overall workload nationally.

We therefore implemented a new workflow assignment mechanism that enabled inspectors to jointly manage their workflow and more efficiently process 4000 tasks annually from over 150 establishments around the country.",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
258,"Demonstrate experience of applying the principles of user-centred design to the delivery of digital services, according to the government digital service standard.","We’ve built 15 government services using user centred/service design principles in the last 6 years. We’ve also contributed our design patterns to the Home Office’s Design System.
 
For the animals in science service we:
mapped the end-to-end service to understand the service landscape
designed and iterated 60 prototypes based on user needs identified in over 500 research sessions
collaborated with external teams including GOV.UK to give users a seamless experience across sites
used tried and tested government design patterns
We passed our beta assessment first time and user satisfaction increased from 47% in 2018 to 78% in 2020.  ",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
259,Demonstrate experience of conducting user research and alpha work in the UK social care system.,"We conducted a discovery and alpha study for  an interoperability standards catalogue for NHSX. This involved carrying out research with 45 users working in care settings and vendors, including adult social care providers. 
 
The aim was to help find and implement standards that support data exchange between care settings, such as the Core Information Standard that’s needed for digital social care records. 
 
Following the discovery, we designed an easy-to-use service through the alpha to help users find standards that apply to their use case, care setting and capability. The service passed its alpha service assessment and is now in beta. ",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
260,Be experienced in developing a variety of user journeys.,"When designing a directory of interoperability standards for NHSX we explored a variety of user journeys to ensure we thoroughly explored all opportunities and could meet a range of different user needs.
We:
Identified user needs to address
Held multiple idea generation sessions to explore different user journeys
Refined the most promising user journeys into HTML prototypes to test with users 
Iterated and developed the most promising journeys into the service 
This resulted in 3 different user journeys for finding standards being included in the service alongside numerous other distinct user journeys, including contribution and feedback mechanisms.",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
261,"Lead a process to develop the vision, scope and roadmap. ","We built a new Animals in Science Licensing system for the Home Office - a large and complex delivery with a fixed 18 month deadline.

To understand scope and vision, we performed research with the business unit and external stakeholders. We agreed on a minimum viable scope for launch but also captured a larger project scope and vision. This defined a roadmap for iterative development. Progress against this roadmap was tracked throughout the project, allowing incremental delivery on the project vision while minimising risk of missing our deadline.

The service launched on time in 2019 and continues to be iteratively improved.",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
262,Have strong stakeholder management skills and experience. ,"In 2018 we started a £7 million digital transformation for a regulator in the biosciences industry. Stakeholders included: 
regulated entities including pharmaceutical companies and universities
regulatory staff including inspectors
government digital, security and assurance teams
advisory bodies, expert committees and pressure groups
Over 3 years we:
carried out 500+ research sessions
held countless ideation workshops with stakeholders
worked collaboratively to solve technical and design challenges
worked in the open by circulating progress reports and presenting at stakeholder events
The system was delivered on time and budget. It has been highly praised by senior stakeholders in the biosciences industry.",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
263,"Work collaboratively, sharing knowledge and experience.","From 2018 to 2020 we partnered with the Home Office to support 10 live services across the HO estate. During that time we maintained these services as well as optimising them with enhanced functionality. 
 
As the contract came to a close we upskilled the in-house team with workshops, handover documentation and support from our lead technical architect.
 
All 10 services were handed over smoothly. A civil servant lead developer we worked with said: “Marvell Consulting are very responsive. They’ve really worked with internal teams to increase our knowledge and capabilities as services transition back to the Home Office.”  
",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
264,Provide experience of leading in project governance and delivery.,"For the animals in science licensing project, we lead the implementation of all aspects of project governance and delivery. These included:
Agile ceremonies, standup, show and tell, retrospective and planning
Weekly project status reporting to stakeholders
Submissions to quarterly project board meetings with senior stakeholders: showing progress and communicating the status of risks and issues
Fortnightly risk meetings tracking identifying new risks, tracking current status
Controlled, phased rollout of service from private beta, through to public beta
“Marvell Consulting has been integral in the transformation of the Home Office’s digital operations.” Home Office Product Lead
",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
265,Provide evidence of building relationships quickly. ,"We had 8 weeks to design an impactful solution in the complex area of interoperability standards. We involved stakeholders from care providers, health tech suppliers, standards development bodies and central assurance teams.
 
We carried out interviews with leaders and practitioners in these areas - gathering insights, building rapport and identifying other potential service users that we could talk to. We also set up a steering group to solidify relationships and held open “show and tells” giving feedback on our progress. 
 
We were awarded a beta-phase contract to deliver the service. We are now NHSX’s partner in transforming the interoperability standards landscape.
",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
266,Demonstrate delivery of similar projects.,"For the NHSx Standards and Interoperability team we developed a platform providing information and guidance to NHS digital service providers. The platform provides information on the availability and implementation of interoperability standards.

We carried out research with standards publishers and consumers to establish the needs for the publication and maintenance of the standards data and accompanying guidance. The result was a roadmap of features that could be implemented as a separate Alpha phase.

We have now successfully delivered this alpha phase of the project, have passed an alpha service assessment, and are currently delivering the service to public beta.
",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
267,Have strong quantitative and qualitative user research experience.,"Our user researchers are all trained, GDPR-compliant and have 10+ years’ experience carrying out user research. We use varied methods depending on the project including:
Surveys 
web analytics reviews
Management Information - data analysis  
structured and semi-structured interviews
shadowing 
usability testing and collaborative analysis
In 2020 we redesigned a complaints service for the Home Office. Following analysis of user feedback we found that 50% of complaints were general enquiries so we designed a service to signpost users to relevant guidance before taking them to an improved complaints form. Feedback from the new service showed user satisfaction increased from 31% to 63%.",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
268,Be experienced in business process mapping skills.,"In 2022 we worked with BEIS on a discovery for the Warm Homes Discount scheme. We discovered a number of gaps in the team’s understanding of business processes and end-to-end journeys.

We tackled this by:
Holding workshops to map end-to-end business processes, roles, responsibilities and pain points
Produced a number of service and process maps to support decision making and identify areas of risk

This gave stakeholders a shared understanding of the process landscape, allowing them to make confident decisions about the service. BEIS are now working towards their alpha phase with a better understanding of their business process.
",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
269,Experience of using decision-making logs to guide technical design.,"For the animal science licensing project, we hold weekly sessions with Home Office subject matter experts. We gather and define requirements and discuss technical design and implementation.

We maintain a record of the items covered, and detail any decisions made. This record is shared between the Home Office and our team.

Over the 4.5 years that the project has been in development we have seen significant turnover of people involved in the project. By having access to this decision log we are able to reduce the dependency on individual knowledge, and any associated risk of impact on delivery.",2.1,Lost,21/04/2022,DHSC,DHSC National Digital Support Platform,TXPImpact,18,Wscored 29 overall. The leading supplier scored 32.,
270,"Experience of data catalogues and sharing large, complex data sets","As part of the government's drive to improve transparency, GDS commissioned the GOV.UK Performance Platform - a data catalogue which, until spring 2021, provided access to performance data of government services.

Our team worked on the design and build of the service to enable:
aggregation of service data from both online and offline channels
access to live and historical performance data
access to the underlying structured data in CSV and JSON formats.
data management via api connections or self-service data uploads
Service dashboards of interactive data visualisations

Our work resulted in performance data for over 700 services being published and data contribution being mandated by the GDS service standard.",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
271,"Experience of developing modular systems using highly performant, robust, accessible and secure micro-services and data driven APIs","We recently delivered a new system for licensing the use of animals in scientific research for the Home Office.

In order to meet the functional and security needs of a number of different user groups this was built as a modular microservices system in kubernetes.

This allowed us to:
implement fine-grained data access rules at database, network and api level for robust data security
scale resources for individual services both horizontally and vertically to optimise performance and efficiency",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
272,"Experience of systems that are a pragmatic combination of adopt (i.e. open-source), build and buy","As part of our delivery of a Firearms Licensing service for the Home Office, in addition to implementing a bespoke public-facing form, we integrated with a number of third-party cloud software products, including:

Keycloak: open-source software for user authentication
iCasework: proprietary back-office caseworking software

By implementing and integrating with existing known solutions for the back-office tooling we were able to significantly reduce the cost of building the service.",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
273,"Experience of building cloud native applications, including ability to scale and containerisation","We have built, deployed, and maintained over 10 projects into the Home Office's Kubernetes cluster, as well as other services deployed in the GOVUK CloudFoundry PaaS.

For the Animal Science Licensing project for the Home Office, this involved the deployment of 12 unique containers across three namespaces, each with the capacity to dynamically scale horizontally to respond to shifts in service load.

This allowed us to optimise the running costs of the service by automatically scaling down in low-traffic periods while still delivering performance capacity at peak times.
",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
274,"Experience of developing production environments and managing large, complex code bases, including continuous deployment","For the Animal Science Licensing project we developed a microservice architecture with 12 distinct services all versioned independently. 

To provide repeatable and reliable continuous deployment, we implemented a multi-tiered deployment pipeline with automated unit and functional tests at a microservice level, feeding into a versioned deployment manifest.

This was then deployed into a test environment as a single deployable artefact, and subject to an integration test suite of over 300 automated browser tests.

This reduced deployment risk as each component was tested in isolation and as a whole, as well as facilitating easy rollback in case of issues. ",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
275,Demonstrate a track record of user-centred design and Agile approaches to delivery,"For Animal Science Licensing, we researched, designed and developed a new service for the Home Office, incrementally and iteratively, to a strict and immovable deadline. 
We conducted Agile ceremonies including:
sprint planning every two weeks
daily stand up meetings
“show and tells” demonstrating user research findings and working software
Throughout the project we:
carried out user research, ensuring all items in the development backlog represented genuine user needs
maintained a prioritised product backlog, focussing on design and development activities delivering most value for money.
The service was delivered on time and budget in 2019 and has been highly praised.",1,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,low-scoring responses did not provide enough evidence to show the supplier's depth of capability in these areas.
276,Demonstrate a track record of working as part of a mixed inhouse/agency team,"We regularly work in mixed inhouse/agency teams. Our teams include delivery managers, developers, researchers and designers who have recently worked alongside teams from:
the Home Office, including their service owner, product manager, subject matter experts and a lead developer to deliver the Animals in Science Licensing service.
the NHSx, including their service owner, product owner, data standards lead and subject matter experts, to deliver an interoperability standards catalogue from Discovery to Live.
The Home Office service passed its Beta service assessment (September 2019) and the NHSx service passed its Alpha assessment (January 2022) and is currently in Beta.",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
277,"Experience of front-end technologies including JavaScript, React","Our development team have been working with JavaScript for over 15 years, and React for the last 6 years.

This has included an open source implementation of GOVUK Design System components in React, which has been used across a number of projects within the Home Office, both by our team and others.

We have recently delivered two projects for the NHS and one for UKSA using the Next.js framework which allows us to rapidly deliver highly performant React apps in an accessible way by supporting server-rendering with progressive enhancement by default.",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
278,"Experience of Elastic Search, Python, Node, Java, Kubernetes","Our development team have been building commercial software with Node and Python for over ten years.

For the last 6 years we have been working on a number of projects for the Home Office built in Node and deployed into their Kubernetes platform. 

Most recently we have delivered the Animal Science Licensing project which uses Elasticsearch to implement a multi-faceted, full text search across ~5,000 licence documents. This allowed the unit to easily access data to respond to parliamentary questions and FOI requests where they were previously unable to do so.",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
279,Experience of PostgreSQL and graph databases,"The Animal Science Licensing project used an RDS managed postgres instance as a primary data store for licence data.

By using JSONB field types we were able to combine highly structured relational data to model the relationships between users, their establishments and their licences, alongside the large and complex unstructured data of the licence documents themselves.

By modelling the data entirely within postgres we were able to integrate the complete licence application and management lifecycle into the service and eliminate the previous need for emailing Word documents.",1,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,low-scoring responses did not provide enough evidence to show the supplier's depth of capability in these areas.
280,Experience of developing ‘in the open’ – working to GDS standards and using tools such as Github,"We delivered the Animal Science Licensing service to replace a legacy system which met 3 of 18 points of the service standard.

Through our delivery we passed 5 separate service assessments from Alpha to Public Beta, and committed to delivering in the open by:
Making all software source code public on github
Holding regular show-and-tells attended by up to 40 people
Engaging with the wider government software community by presenting our work at meetups and conferences
Publishing a blog post on the project on the GOVUK blog

In total we have passed 15 service assessments, with a 100% pass record.",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
281,Experience of content design to enable users to perform technical tasks ,"In 2021 we began a project to create a directory of interoperability standards used across NHS digital systems to support technical teams in building services that can share data with each other.

To ensure all of the information was findable, understandable and relevant, our content designer:
defined the content structures for metadata and other supporting information for the implementation of each technical standard
simplified language where possible to support both the technical and non-technical users of the service
defined the content strategy for publishing and updating the directory

The service passed its Alpha assessment first time and has progressed into Beta.",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
282,"Demonstrate an understanding of some of the key services, datasets and analytical capacity within a local authority or national government","In 2021 we partnered with urban regeneration consultancy Remarkable City to develop a proof of concept data visualisation tool to map vacant commercial property densities for Ealing Borough Council.

We attended multiple user research sessions with council data providers and members of business improvement districts to learn how they use data to make informed decisions on planning and development. We explored how to present and segment this data to better meet the needs of these users.

Our work was shortlisted as part of the Mayor’s Resilience Challenge.",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
283,"Demonstrate active participation in an open-source community, contributing code as well as making use of open-source software","We are active contributors to the open source community, both within government and as part of a wider ecosystem.

As part of our delivery of the HMPO Online Passport Renewal service we built a set of open-source tools for building web forms. These were developed and expanded to become Home Office Forms - a form building framework that was used in more than 15 services across the Home Office and other government departments.

We also contribute directly to the tools we use every day. For example, our developers have contributed improvements to security audit tooling in npm and documentation in CKAN.",2,Lost,22/04/2022,GLA,GLA London Datastore Rebuild,TPXImpact,23,,Responses were generally good and detailed
284,Demonstrate your experience of working on high-quality digital discovery projects,"We’ve done multiple discoveries including:
exploring user workflows and technology required to deliver a £450 million policy (BEIS)
integrating enforcement activities into a digital case management system (Home Office)
exploring how a digital service can support interoperability in the NHS (NHSX)
 
In each case we:
identified user groups and stakeholders
did qualitative user research, eg. structured interviews, workshops
visualised existing/future workflows
identified gaps, pain points and opportunities
produced a discovery report with recommendations and next steps
Every discovery was completed on time and is progressing to alpha. 
“I’m impressed with the work you have undertaken” Simon Buck BEIS Digital.",*1,Lost,24/05/2022,BEIS,"UK SBS DDaT22171, BEIS, Improving public-facing climate content",Not declared,39,"*A question on the submission only scored 1. Marvell total 12, lowest qualifying score 15 ",Partnered with Ipsos 
285,"Demonstrate your experience of conducting effective digital-focused social-research (including qualitative workshops/focus groups),and/or behavioural science research, and/or user-research with the UK public. Experience of all three would be preferable","Our partner Ipsos, working with creative experts at The Liminal Space, delivered a public dialogue concerning drones, flying taxis and air mobility for Innovate UK and Sciencewise. The intention was to engage with the public about how future flight technologies will change the way we live, work and receive services. 

The team ran virtual workshops, an online community and participants engaged with creative innovative materials (i.e., visual projection techniques, a ‘skyways’ map in the style of a board game). 

The key findings included expectations for technology to be environmentally advantageous over existing travel, and concerns were predominantly around safety.",*1,Lost,24/05/2022,BEIS,"UK SBS DDaT22171, BEIS, Improving public-facing climate content",Not declared,39,"*A question on the submission only scored 1. Marvell total 12, lowest qualifying score 16",Partnered with Ipsos 
286,"Demonstrate your experience in working on projects that cover Government Digital Service standards, GOV.UK standards, and accessibility standards","We’ve designed and built over 15 services for Government departments including NHSX and the Home Office.
 
These include:
a decision tree to triage complaints to the Home Office 
an online licensing and regulatory system 
a catalogue to help health and social care organisations find interoperability standards 
For each service we:
conducted interviews and focus groups to understand users’ needs
created prototypes using GOV.UK and WCAG 2.0 accessibility standards  
tested them with a range of users with diverse abilities
In all 10 service assessments we’ve done we met all points of the GDS standard, passing every assessment first time.",*1,Lost,24/05/2022,BEIS,"UK SBS DDaT22171, BEIS, Improving public-facing climate content",Not declared,39,"*A question on the submission only scored 1. Marvell total 12, lowest qualifying score 17",Partnered with Ipsos 
287,"Demonstrate your ability to develop accessible materials and workshop methods to ensure participants are engaged and can effectively deliberate, including how you can simplify complex topics without losing detail","Our partner Ipsos, with the University of Leeds, led a large programme of public engagement for Defra/Sciencewise concerning Climate Adaptation. Given previous engagement focussed on mitigation, this required new and accessible materials and workshop stimulus. 

We ran six online workshops in four locations, followed by a national summit. Participants engaged in informative presentations delivered by climate experts, discussed the risks and solutions through the lens of different actors and the trade-offs were brought to life through future scenarios and a consequences and choices game. 

The key findings were that we must act now, alongside the importance of public communications.",*1,Lost,24/05/2022,BEIS,"UK SBS DDaT22171, BEIS, Improving public-facing climate content",Not declared,39,"*A question on the submission only scored 1. Marvell total 12, lowest qualifying score 18",Partnered with Ipsos 
288,"Using example demonstrate your ability to provide quality assurance across all stages of the project, including who feeds into this, at what stages, and how you coordinate it","Whilst working on the Warm Home Discount reform discovery, we provided quality assurance across all stages of the project: 
Planning; our high-level plan included QA review dates, deliverable descriptions and reviewers from our internal team, BEIS policy and delivery teams
Delivering; presented progress in show & tells for feedback, shared draft research plans and outputs with BEIS, held internal QA reviews and iterated all materials
Concluding; followed a two-stage assurance review sharing discovery deliverables with internal reviewers first, then BEIS colleagues
Our product manager coordinated the QA process. “This looks like a quality piece of discovery work” Simon Buck BEIS Digital.",*1,Lost,24/05/2022,BEIS,"UK SBS DDaT22171, BEIS, Improving public-facing climate content",Not declared,39,"*A question on the submission only scored 1. Marvell total 12, lowest qualifying score 19",Partnered with Ipsos 
289,"Demonstrate your experience in, and ability to, provide recommendations for a client organisation, including using evidence and developing solutions for long-term decision-making","We conducted a discovery and alpha into an interoperability standards catalogue for NHSX. This involved carrying out research with 45 users, vendors and care providers. The aim was to help them find and implement standards that support data exchange between care settings. 

Following discovery we designed easy-to-use tools to help users find standards. We tested different prototypes with a range of users and iterated them using evidence. 

As a result, we made prioritised recommendations for a digital service which enables long-term decision-making and data-sharing in health and social care. NHSX engaged our team again to build the solution in beta. ",*1,Lost,24/05/2022,BEIS,"UK SBS DDaT22171, BEIS, Improving public-facing climate content",Not declared,39,"*A question on the submission only scored 1. Marvell total 12, lowest qualifying score 20",Partnered with Ipsos 
290,Demonstrate your experience in working on net zero or climate-related projects including clear understanding of Government’s commitments in this area. ,"Our partner Ipsos has delivered numerous evaluations of climate mitigation projects for BEIS and have developed a clear understanding of Government’s commitment for transitioning to net zero by 2050. 

Evaluation projects for the GES package include:

Green Homes Grant Vouchers and Local Authority Delivery schemes
Social Housing Decarbonisation Fund Demonstrator 

These have involved a mix of surveys with householders, landlords, and installers; case studies; tracking of energy consumption data and thematic workshops. Early findings suggest benefits for householders including increased warmth and comfort and reduced use of heating although there have been some constraints to delivery including COVID-19.",*1,Lost,24/05/2022,BEIS,"UK SBS DDaT22171, BEIS, Improving public-facing climate content",Not declared,39,"*A question on the submission only scored 1. Marvell total 12, lowest qualifying score 21",Partnered with Ipsos 
291,Provide evidence of experience in website development driven by user research.,"For the Home Office we researched, designed and built the Animals in Science Licensing digital service from alpha to live.

We:
–identified user groups,  personas and user needs through interviews and workshops
–broke down user needs into stories for design and development
–tested prototypes with users, internal and external 
–iterated our solution based on feedback 
–launched the service and continued to design and develop new features   

Our work provided a 31% increase in user satisfaction. We passed all service assessments first time and shared our findings with the Home Office research community, who now hold our approach as an exemplar.
",3,Lost,29/06/2022,HRA,Develop new website for people involved in or affected by health and social care research,Not stated,25,We scored 23. Lowest shortlisted score 25,
292,"Experience and expertise of working in an agile way, iterative design and prototyping.","For the Home Office we’ve iteratively researched, designed and developed a new Animals in Science Licensing service.

We designed and built features incrementally using agile methodologies such as, holding sprint planning, daily stand ups, show-and-tells and retrospectives over fortnightly sprints.

To deliver features we:
–explored designs from user needs in ideation workshops
–refined these designs into prototypes (over 40 in total)
–tested prototypes with service users
–analysed the findings and iterated the designs accordingly
–developed the feature into live software

This approach of releasing new features incrementally, that confidently met users’ needs, resulted in a 31% increase in user satisfaction.",2,Lost,29/06/2022,HRA,Develop new website for people involved in or affected by health and social care research,Not stated,25,We scored 23. Lowest shortlisted score 25,
293,Provide evidence of designing and building services which meet user needs.,"We have designed and built 15 government services that meet user needs.

For example with our NHS E/I standards directory service we:  

identified all service users and stakeholders
facilitated over 80 usability testing sessions with different types of users including users with access needs
held regular reviews of our designs with subject matter experts
built the service using evidence from research and supporting user quotes 
Our team have passed 10 GDS service assessments which assure their services’ compliance with users' needs. We’ve also achieved steep rises in user satisfaction (+30%) and staff efficiencies (50% quicker processing times).",2,Lost,29/06/2022,HRA,Develop new website for people involved in or affected by health and social care research,Not stated,25,We scored 23. Lowest shortlisted score 25,
294,Provide evidence of designing and building services which meet GDS requirements for content design.,"We’ve designed and built 15 government services meeting GDS requirements for content design in the last 6 years. 

To ensure this we:
–had a GOV.UK trained content designer join the team
–followed the GOVUK style guide, design principles and service standard
–kept content clear and short
–simplified language to plain English
–co-wrote service content with subject matter experts 
–met content standards for WCAG 2.1 AA accessibility
–iterated service content based on findings from user research

Each service met GDS requirements. We passed 10 service assessments and have achieved WCAG 2.1 AA content standards in all accessibility audits.",3,Lost,29/06/2022,HRA,Develop new website for people involved in or affected by health and social care research,Not stated,25,We scored 23. Lowest shortlisted score 25,
